uid,account_uid,app_uid,user_uid,is_admin,is_invite_accepted,created_by,created_at,modified_by,modified_at
4278f849-8ba3-4f2f-953f-849d6f123c09,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,09e5fa90-4386-4caf-b6a5-aeda1f480376,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T18:52:07Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T18:52:07Z
6a120ee3-1d28-4b92-b52e-8668f87f9d0e,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,1eea4f94-91bc-416d-b448-a0c482d59476,FALSE,TRUE,04ad92a2-6b44-46e4-abce-0b86ec4de352,2024-10-18T20:34:28Z,04ad92a2-6b44-46e4-abce-0b86ec4de352,2024-10-18T20:34:28Z
16dcc501-1e80-4289-b9d2-767352cfb850,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,b6cd1eab-081c-41a3-8df6-216dd4bdfcd8,TRUE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:01:51Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:01:51Z
5d456537-2df1-43f2-bed0-2161f9d6b53e,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,68af9fe4-305d-4001-ac01-bbe7b7f0f550,FALSE,TRUE,04ad92a2-6b44-46e4-abce-0b86ec4de352,2024-10-18T20:34:18Z,04ad92a2-6b44-46e4-abce-0b86ec4de352,2024-10-18T20:34:18Z
001e5de6-c9a8-425d-bedf-855cfdd32d83,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,81d2f81f-a2d2-4caa-ad93-227f5988c576,FALSE,TRUE,04ad92a2-6b44-46e4-abce-0b86ec4de352,2024-10-18T20:34:08Z,04ad92a2-6b44-46e4-abce-0b86ec4de352,2024-10-18T20:34:08Z
5db7bfa8-cee6-451d-9f7d-ef31aaf0eb8e,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,4250208b-8013-4e82-a636-180ff9326a25,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T16:44:07Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T16:44:07Z
386f590d-4291-4a77-95ab-2ff18d2caad2,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,715f6342-074b-449d-9075-01803258fa1f,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T16:41:13Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-18T16:41:13Z
9a967046-e5ff-458c-9226-e20466e266a0,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,5d396b01-5fe3-4cb5-a58e-bc59f4435e9d,TRUE,TRUE,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-17T20:14:52Z,000bb29d-e521-48bc-b210-490415d4ed37,2024-10-17T20:14:52Z
55125171-630b-445c-8b5f-a97e421250b5,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,7db7e249-1077-448c-b2a6-70156668956c,TRUE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-11-11T19:39:35Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-11T19:39:35Z
c3bb9dac-de93-4f94-803d-9a74454d5942,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,f82021f9-003e-432e-ad76-de45ae43262b,FALSE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-11-12T14:52:33Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-12T14:52:33Z
b5c59a78-a30f-4579-86a2-8ea99ad83c49,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,f2b41204-34c2-493f-8c9c-17e4460ecdb8,FALSE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-11-12T14:52:46Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-12T14:52:46Z
5234bba6-df66-42e3-a9f4-3c4099021f50,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,7e7b0bf0-7342-4812-80b2-4fef66c2a39f,FALSE,FALSE,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:03:04Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:03:04Z
084a55e5-253f-4edb-a36c-a0953571e6e0,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,4bfd3fc8-5095-4c78-a887-2a0f1fc7cbdf,TRUE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:02:38Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:02:38Z
571213ef-708b-4f12-85cb-741ee25dc599,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,6e3b927c-3d1f-4161-8c00-8a2f5c9dc0bf,TRUE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:02:28Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:02:28Z
d8bf0356-131d-4c8a-9794-e322b0ae6214,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,58591ff5-d357-4bb1-b1dc-dc9c64171b68,FALSE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:03:22Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:03:22Z
e144dd54-9680-4e81-b0d6-f4f5d8638855,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,f0573d49-020f-415e-ab64-07972d1ba803,FALSE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:03:58Z,715f6342-074b-449d-9075-01803258fa1f,2024-11-13T20:03:58Z
f256d83f-252b-4c07-b09b-20390dab5f39,e06a8868-a188-4fba-897c-1dc6c807f048,93c260ff-9ac4-45ab-a2c0-feb8b96c0fc3,971d03e1-a265-4fcb-a8e9-74c61ea3935d,FALSE,TRUE,715f6342-074b-449d-9075-01803258fa1f,2024-12-04T21:40:51Z,715f6342-074b-449d-9075-01803258fa1f,2024-12-04T21:40:51Z
