property_id,property_name,unit_type,average_square_footage,average_advertised_rent,total_scheduled_rent,units,excluded_unit_count,rentable_unit_count,occupied_count,started_new_count,started_renewal_count,started_count,started_percent,partially_completed_new_count,partially_completed_renewal_count,partially_completed_count,partially_completed_percent,completed_new_count,completed_renewal_count,completed_count,completed_percent,approved_new_count,approved_renewal_count,approved_count,approved_percent,preleased_new_count,preleased_renewal_count,preleased_count,preleased_percent,variance,available_count,number_of_bedrooms,number_of_bathrooms
739084,908 S. 1st,B3,457,896.875,8295,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,1,6,2,8,1,0.125,0,NA,NA
739084,908 S. 1st,D1,311,905,11145,16,0,16,16,0,0,0,0,1,0,1,0.0625,0,0,0,0,11,0,11,0.6875,12,0,12,0.75,-0.25,4,NA,NA
739084,908 S. 1st,M1 Murphy,319,1120,13650,12,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,1,9,3,12,1,0.08333333333333337,0,NA,NA
739084,908 S. 1st,M1 Murphy Balcony,333.5625,1101.5625,19465,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,1,12,4,16,1,0.5625,0,NA,NA
739084,908 S. 1st,M2 Murphy,349,1220,4925,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,2,2,4,1,0,0,NA,NA
641240,Academy 65,A1,463,1815,9710,10,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,0,5,5,0.5,0.2,5,1,1
641240,Academy 65,B1,284.7142857142857,1320,7080,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.3333333333333333,0,7,7,0.3333333333333333,0,14,2,2
641240,Academy 65,B1 Semi-Shared,249,795,7600,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.38095238095238093,0,8,8,0.38095238095238093,0.19047619047619047,13,2,2
641240,Academy 65,C1 Study,389,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6666666666666666,3,3,2
641240,Academy 65,D1 Balcony,276,935,5785,40,0,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.15,0,6,6,0.15,-0.275,34,4,2
641240,Academy 65,D2,293.5,993.5714285714286,26940,64,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,3,25,28,0.4375,3,25,28,0.4375,0.171875,36,4,4
641240,Academy 65,D3,243,1015,5325,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.35,0,7,7,0.35,0.14999999999999997,13,4,4
641240,Academy 65,D3 Semi-Shared,242.58333333333334,767.1739130434783,19600,120,0,120,118,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0.19166666666666668,0,23,23,0.19166666666666668,-0.30833333333333335,97,4,4
641240,Academy 65,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
