property_id,property_name,property,unit_type,unit_type_subtotal,avg_sqft,avg_advertised_rate,units,excluded_unit_count,rentable_unit_count,avg_scheduled_rent,occupied_count,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent,variance,available_count,scheduled_rent_total,number_of_bedrooms,number_of_bathrooms
739076,1008 S. 4th,1008 S. 4th,M1 Murphy,M1 Murphy,321,1210,4,0,4,1208.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,2,2,4,1,3,2,0,2,3,4,0.75,1,0.25,0,4835,NA,NA
739076,1008 S. 4th,1008 S. 4th,M1 Murphy Balcony,M1 Murphy Balcony,319,1244.090909090909,12,0,12,1246.3636363636363,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,8,7,2,4,10,11,0.9166666666666666,10,7,2,4,12,11,1,0.9166666666666666,-0.08333333333333337,1,13710,NA,NA
739076,1008 S. 4th,1008 S. 4th,S1,S1,432,1306.25,4,0,4,1353.75,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,1,3,4,1,3,3,1,1,4,4,1,1,0,0,5415,NA,NA
739076,1008 S. 4th,1008 S. 4th,S2,S2,406,1021.25,4,0,4,1380,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,4,4,1,2,3,2,1,4,4,1,1,0,0,5520,NA,NA
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,Not Selected,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S1,S1,308.16,2895,25,0,25,2850,24,1,0,0,1,1,1,0.04,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,8,4,11,4,0.16,5,0,8,5,13,5,0.52,0.2,-0.32,20,14250,0,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S2,S2,317.5,2950,12,0,12,2915,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,0.16666666666666666,0,0,4,2,4,2,0.3333333333333333,0.16666666666666666,-0.16666666666666666,10,5830,0,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S3,S3,342.5882352941176,3065,51,0,51,3064.4444444444443,46,0,0,0,2,0,2,0.0392156862745098,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,10,7,10,7,0.13725490196078433,2,0,10,9,12,9,0.23529411764705882,0.17647058823529413,-0.05882352941176469,42,27580,0,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S4,S4,323.25,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,0,2,0,3,0,0.375,0,-0.375,8,0,0,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S5,S5,346.4,3150,10,0,10,3100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0.1,0,0,3,1,3,1,0.3,0.1,-0.19999999999999998,9,3100,0,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S6,S6,360.55172413793105,3350,29,0,29,3325,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,8,4,0.13793103448275862,1,0,7,4,8,4,0.27586206896551724,0.13793103448275862,-0.13793103448275862,25,13300,NA,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S7,S7,442,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0.25,0,-0.25,4,0,0,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S8,S8,348.8181818181818,3350,11,0,11,3325,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0.09090909090909091,0,0,2,1,2,1,0.18181818181818182,0.09090909090909091,-0.09090909090909091,10,3325,0,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S9,S9,402.8,3950,5,0,5,3950,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2,0,0,0,1,0,1,0,0.2,0.2,4,3950,0,1
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,S10,S10,528,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0.25,0,-0.25,4,0,0,1
