property_id,property_name,unit_type,avg_sqft,number_of_bedrooms,number_of_bathrooms,avg_advertised_rate,avg_scheduled_rent,total_schedule_rent,total_units,excluded_units,rentable_units,occupied_count,available_count,year_over_year_variance,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent
518042,The Academy on Charles,C1,364.5,3,3,1580,1567.5,18810,12,0,12,12,0,0.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3,9,4,3,7,12,1,5,9,4,3,9,12,0.75,1
518042,The Academy on Charles,C2,339,3,3,1484.5454545454545,1638.8636363636363,36055,36,0,36,36,14,-0.05555555555555547,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,8,13,14,9,22,22,0.6111111111111112,10,13,14,9,24,22,0.6666666666666666,0.6111111111111112
518042,The Academy on Charles,C3,283,3,3,1578.2608695652175,1579.3478260869565,36325,24,0,24,24,1,0.16666666666666674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0.08333333333333333,5,17,11,4,16,21,0.875,8,19,11,4,19,23,0.7916666666666666,0.9583333333333334
518042,The Academy on Charles,C4,422,3,3,1625,1625,1625,3,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.3333333333333333,0,0,1,1,1,1,0.3333333333333333,0.3333333333333333
518042,The Academy on Charles,D1,281.3076923076923,4,4,1565.8333333333333,1551.6666666666667,9310,104,0,104,104,98,-0.07692307692307691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,5,14,6,0.057692307692307696,1,1,13,5,14,6,0.1346153846153846,0.057692307692307696
518042,The Academy on Charles,D2,351.8,4,4,1585.8333333333333,1557.2222222222222,28030,40,0,40,40,22,-0.49999999999999994,1,0,0,0,1,0,0,2,1,0,0,2,1,0.025,2,0,0,0,2,0,0,21,4,12,13,33,17,0.425,26,5,12,13,38,18,0.95,0.45
518042,The Academy on Charles,D3,307.6,4,4,1529.2105263157894,1525.5263157894738,28985,20,0,20,20,1,0.3999999999999999,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,1,0.05,4,9,4,9,8,18,0.9,7,9,4,10,11,19,0.55,0.95
518042,The Academy on Charles,D4,267,4,2,1515,1502.5,12020,32,0,32,32,24,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,12,8,0.25,4,4,8,4,12,8,0.375,0.25
518042,The Academy on Charles,Not Selected,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518042,The Academy on Charles,S1,351,NA,1,2057.5,2022.5,8090,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,4,1,0,1,4,3,4,4,1,1
518042,The Academy on Charles,S2,423,0,1,2465,2465,2465,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1
1197886,The Caswell at Runnymeade,A1.1,849,1,1,0,0,0,3,0,3,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,1,0
1197886,The Caswell at Runnymeade,A1.2,881,1,1,0,0,0,2,0,2,1,2,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.5,0
1197886,The Caswell at Runnymeade,A2,1052,1,1,0,0,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197886,The Caswell at Runnymeade,A3,805,1,1,2300,2403,24030,16,0,16,16,6,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.0625,6,4,0,5,6,9,0.5625,7,4,0,6,7,10,0.4375,0.625
1197886,The Caswell at Runnymeade,A4,858,1,1,2307,2404.375,19235,16,0,16,15,8,-0.125,0,0,0,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,4,10,7,0.4375,10,3,0,5,10,8,0.625,0.5
1197886,The Caswell at Runnymeade,A5.1,1059,1,1,2519,2815.3333333333335,8446,6,0,6,6,3,0.33333333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,0.5,1,1,0,2,1,3,0.16666666666666666,0.5
1197886,The Caswell at Runnymeade,A5.2,1071,1,1,2672,2868,5736,6,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,0.3333333333333333,2,1,0,1,2,2,0.3333333333333333,0.3333333333333333
1197886,The Caswell at Runnymeade,A6,1048,1,1,2723,2334,2334,4,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.25,1,1,0,0,1,1,0.25,0.25
1197886,The Caswell at Runnymeade,A7,1192,1,1,2723,3005.25,12021,8,0,8,8,4,0,0,0,0,1,0,1,0.125,0,0,0,0,0,0,0,0,0,0,1,0,1,0.125,4,1,0,1,4,2,0.25,4,1,0,3,4,4,0.5,0.5
1197886,The Caswell at Runnymeade,B1,1277.578313253012,2,2,2870.6744186046512,3153.860465116279,135616,85,2,83,70,40,0.27710843373493976,0,0,0,1,0,1,0.012048192771084338,0,1,0,0,0,1,0.012048192771084338,0,1,0,5,0,6,0.07228915662650602,20,24,0,11,20,35,0.42168674698795183,20,26,0,17,20,43,0.24096385542168675,0.5180722891566265
1197886,The Caswell at Runnymeade,B1.2,1289,2,2,2881,3263,9789,7,0,7,6,4,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,1,0,3,0.42857142857142855,2,2,0,1,2,3,0.2857142857142857,0.42857142857142855
1197886,The Caswell at Runnymeade,B2,1365,2,2,2326.4736842105262,3388.0526315789475,64373,38,0,38,29,19,0.15789473684210525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0.02631578947368421,11,9,0,9,11,18,0.47368421052631576,13,10,0,9,13,19,0.34210526315789475,0.5
1197886,The Caswell at Runnymeade,B3.1,1260,2,2,2881,3341,3341,4,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0.25,1,1,0,0,1,1,0.25,0.25
1197886,The Caswell at Runnymeade,B3.3,1307,2,2,2889,3819,3819,2,0,2,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0,1,0,0,0,1,0,0.5
1197886,The Caswell at Runnymeade,C1,1660,3,2,3621.1428571428573,3614.5714285714284,25302,16,0,16,14,9,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.0625,4,4,0,2,4,6,0.375,5,5,0,2,5,7,0.3125,0.4375
1197886,The Caswell at Runnymeade,C2,1595,3,2,3571.133333333333,4205,63075,32,0,32,28,17,0.09375,1,1,0,0,1,1,0.03125,0,0,0,0,0,0,0,0,0,0,1,0,1,0.03125,11,6,0,7,11,13,0.40625,12,7,0,8,12,15,0.375,0.46875
1197886,The Caswell at Runnymeade,Not Selected,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833617,The Dean Campustown,A1,533,1,1,1966.7857142857142,2128.214285714286,29795,14,0,14,13,0,-0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,10,9,4,14,14,1,6,10,9,4,15,14,1.0714285714285714,1
833617,The Dean Campustown,A2 Deluxe,133,1,1,2107.8571428571427,1088.392857142857,30475,28,0,28,28,0,-0.0714285714285714,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,14,14,12,14,26,28,1,18,14,12,14,30,28,1.0714285714285714,1
